rank,address,status,score,trades30d,pnl30d,winRate,consistency,maxDrawdown,daysSinceLastTrade,firstSeenGeneration,reason
272,0x5235578efe24555b0c98e7dc10a902b09089c04a,watch,0.6200,242,0.1763,0.9600,0.4800,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
273,0x3ea2cd9da75e99c7e6ef07206c341aad247de8e5,watch,0.6200,500,0.9212,0.0500,0.0200,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
274,0xf0d5eb1cbe7350f1f896ade6c172e6700414c665,watch,0.6200,371,0.0163,0.8200,0.4100,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
275,0xb272505077cc2c6bde5acca133ea6364152e5030,watch,0.3700,151,-0.3221,0.3000,0.1500,0.1500,1,0,"borderline score 0.37; spreads usually wide"
276,0x06b2934b382d4429d50d7239ee375a76167f9f35,watch,0.7300,500,0.7102,0.6400,0.3200,0.1500,1,0,"global score 0.73 above threshold 0.5, copyable"
277,0x99f0d31fdced5b3a0e5ee2867730a6644a6c9495,watch,0.5400,497,0.1139,0.4200,0.2100,0.1500,1,0,"global score 0.54 above threshold 0.5, copyable"
278,0xbfd770b7ff07fb2ece41b0e7c593db65a84cf0bf,watch,0.6500,476,0.2392,0.5500,0.2800,0.1500,1,0,"global score 0.65 above threshold 0.5, copyable"
279,0x04b1e3aff4fed7a6868757761db7486ddb6cd224,watch,0.5300,498,0.0174,0.5200,0.2600,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
279,0x72a0d79b4325638bc2bcfc9a2b8a380c2d81c059,watch,0.6100,500,-0.0068,0.6500,0.3300,0.1500,1,0,"global score 0.61 above threshold 0.5, copyable"
280,0x1160696549a6e3e5d9b4a7ccaed0403902307d8a,watch,0.5300,455,0.0188,0.5100,0.2500,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
